Complete,Stage,Owner,Task,Notes
FALSE,Before arrival,Nobu,"Confirm the start date, degree program, funding or assistantship arrangement, and expected weekly commitment.",
FALSE,Before arrival,Nobu,"Confirm any teaching, research, or service duties associated with the appointment.",
FALSE,Before arrival,Nobu,Identify the initial project and the person responsible for day-to-day training.,
FALSE,Before arrival,Nobu,Prepare a realistic first task that can be completed during the first one or two weeks.,
FALSE,Before arrival,Nobu,"Prepare a desk, computer, basic supplies, and required lab access.",
FALSE,Before arrival,Nobu,"Identify keys, card access, parking, building access, and other logistical needs.",
FALSE,Before arrival,Nobu,Create the project repository under the lab GitHub organization or identify the existing repository.,
FALSE,Before arrival,Nobu,Create the appropriate folders on Auburn-approved shared storage.,
FALSE,Before arrival,Nobu,"Confirm that required enrollment, assistantship, payroll, or other university paperwork is in progress.",
FALSE,Before arrival,Nobu,Send the lab policies and this checklist to the new member.,
FALSE,Before arrival,Nobu,Ask the new member to create a GitHub account and send the username.,
FALSE,Before arrival,Nobu,Schedule the first-day orientation and the first individual meeting.,
FALSE,Before arrival,Nobu,Identify a current lab member or colleague who can provide practical help during the first weeks.,
FALSE,Before arrival,New member,"Complete requested university, enrollment, assistantship, payroll, or international-student paperwork.",
FALSE,Before arrival,New member,Activate Auburn email and other required university accounts.,
FALSE,Before arrival,New member,Create a free personal GitHub account and verify the email address.,
FALSE,Before arrival,New member,Send the GitHub username to Nobu.,
FALSE,Before arrival,New member,Read the lab policies and write down questions.,
FALSE,Before arrival,New member,Share the expected course schedule and general availability.,
FALSE,Before arrival,New member,Confirm the first-day meeting time and location.,
FALSE,Before arrival,New member,"Tell Nobu about any immediate workspace, accessibility, or scheduling need through an appropriate private channel.",
FALSE,First day,Together,"Introduce the new member to current lab members, nearby colleagues, and key departmental staff.",
FALSE,First day,Together,"Tour the office, laboratory, animal rooms, shared facilities, restrooms, break areas, exits, and emergency equipment.",
FALSE,First day,Together,"Discuss the graduate student's role, primary project, initial responsibilities, and expected weekly commitment.",
FALSE,First day,Together,"Discuss how research, coursework, assistantship duties, and professional development will be balanced.",
FALSE,First day,Together,"Discuss communication preferences and which matters should be handled by email, chat, calendar invitation, or in person.",
FALSE,First day,Together,"Discuss expectations for in-person work, remote work, schedule flexibility, and advance notice for absences.",
FALSE,First day,Together,"Review the lab meeting, individual meeting, seminar, and journal-discussion schedule.",
FALSE,First day,Together,Schedule a recurring individual meeting.,
FALSE,First day,Together,"Review how to ask for help, report mistakes, and raise concerns.",
FALSE,First day,Together,"Discuss how feedback will be requested, given, and documented.",
FALSE,First day,Together,"Review the distinction between repository ownership, data ownership, and scholarly credit.",
FALSE,First day,Together,Identify the first task and define what successful completion looks like.,
FALSE,First day,Nobu,"Provide keys, card access, workspace, computer, and basic supplies.",
FALSE,First day,Nobu,Provide emergency and after-hours contact procedures.,
FALSE,First day,Nobu,Explain who to contact when Nobu is unavailable.,
FALSE,First day,Nobu,"Add the new member to relevant calendars, mailing lists, chat spaces, and shared documents.",
FALSE,First day,Nobu,Add the new member to the appropriate GitHub organization team and project repositories.,
FALSE,First day,Nobu,Confirm access to the appropriate Auburn-approved project storage.,
FALSE,First day,Nobu,"Explain any responsibilities for termite care, shared equipment, routine lab maintenance, or teaching support.",
FALSE,First day,New member,"Confirm access to the workspace, computer, Auburn email, shared calendar, and communication channels.",
FALSE,First day,New member,"Bookmark the lab policies, onboarding checklist, project repository, and relevant shared folders.",
FALSE,First day,New member,"Confirm how to report an emergency, injury, equipment failure, or animal-care problem.",
FALSE,First day,New member,Record questions that remain unresolved.,
FALSE,First week,Together,Review which university and project-specific training is required before research begins.,
FALSE,First week,Together,Review the biological question and why the initial project matters.,
FALSE,First week,Together,Review the study organisms and required handling practices.,
FALSE,First week,Together,"Review existing data, protocols, papers, and prior work.",
FALSE,First week,Together,Identify the first deliverable and the skills needed to complete it.,
FALSE,First week,Together,Begin supervised training in the relevant methods.,
FALSE,First week,Together,"Discuss how observations, failed attempts, and protocol changes will be documented.",
FALSE,First week,Together,Discuss preliminary expectations for contributions and authorship without treating them as fixed promises.,
FALSE,First week,Together,"Discuss whether outside collaborations, class projects, or side projects overlap with lab responsibilities or resources.",
FALSE,First week,Nobu,"Verify which Responsible Conduct of Research, CITI, BioRaft, cybersecurity, driver, field-safety, and project-specific training is required.",
FALSE,First week,Nobu,Demonstrate the expected documentation standard.,
FALSE,First week,Nobu,"Show where raw data, processed data, code, outputs, drafts, and large video files are stored.",
FALSE,First week,Nobu,Explain how lab HDDs and other large-data storage are tracked.,
FALSE,First week,Nobu,Check that the new member can access every necessary system.,
FALSE,First week,Nobu,Confirm where the first week's work should be saved.,
FALSE,First week,Nobu,Explain when feedback on the first task will be provided.,
FALSE,First week,Nobu,Check progress before the end of the first week.,
FALSE,First week,New member,Complete the required Auburn and project-specific training before beginning the relevant activity.,
FALSE,First week,New member,Save required training records in the designated Auburn storage location.,
FALSE,First week,New member,Ask Nobu to verify that required training is complete.,
FALSE,First week,New member,Accept the GitHub organization invitation.,
FALSE,First week,New member,Confirm access to the project repository and shared storage.,
FALSE,First week,New member,Confirm that passwords and sensitive information are not stored in GitHub.,
FALSE,First week,New member,Clone the repository or practice editing a Markdown file through the GitHub website.,
FALSE,First week,New member,"Learn how to open an issue, make a commit, and identify the current canonical version of a file.",
FALSE,First week,New member,Create or review the project README.,
FALSE,First week,New member,Begin the first assigned task and document questions or problems.,
FALSE,By the end of the second week,Together,Write a one-page initial project plan or an equivalent project README section.,
FALSE,By the end of the second week,Together,State the central question and the first achievable milestone.,
FALSE,By the end of the second week,Together,"Define the expected first-month output, such as a protocol, pilot data set, figure, analysis, annotated videos, or literature summary.",
FALSE,By the end of the second week,Together,Agree on a regular meeting and communication rhythm.,
FALSE,By the end of the second week,Together,Review whether the expected weekly commitment is realistic alongside courses and assistantship duties.,
FALSE,By the end of the second week,Together,Identify the next skills or training needed.,
FALSE,By the end of the second week,Together,Confirm the location and backup of all work completed so far.,
FALSE,By the end of the second week,Together,"Review repository access, data stewardship, project ownership, authorship, presentation, and publication expectations.",
FALSE,By the end of the second week,Together,"Discuss any difficulties, unclear expectations, or missing resources.",
FALSE,By the end of the second week,Together,Add missing onboarding tasks to this checklist.,
FALSE,By the end of the second week,Together,Schedule the first-month review.,
FALSE,By the end of the second week,Nobu,Review the project folder and repository organization.,
FALSE,By the end of the second week,Nobu,Verify that raw data and working files are backed up.,
FALSE,By the end of the second week,Nobu,Verify completion of required training.,
FALSE,By the end of the second week,Nobu,Provide feedback on the first task.,
FALSE,By the end of the second week,Nobu,Adjust the scope of the initial project if needed.,
FALSE,By the end of the second week,Nobu,Document any project-specific or assistantship expectations not covered by the general lab policies.,
FALSE,By the end of the second week,New member,Demonstrate that the project repository and shared storage can be accessed independently.,
FALSE,By the end of the second week,New member,"Demonstrate where new data, code, notes, and outputs should be saved.",
FALSE,By the end of the second week,New member,Complete or substantially advance the first assigned task.,
FALSE,By the end of the second week,New member,Identify at least one question about the science and one question about the workflow.,
FALSE,By the end of the second week,New member,"Report any software, equipment, access, mentoring, or scheduling problem.",
FALSE,By the end of the first month,Together,Review the first meaningful research product and identify the next milestone.,
FALSE,By the end of the first month,Together,Review whether the meeting schedule and communication practices are working.,
FALSE,By the end of the first month,Together,Identify short-term and long-term skill-development priorities.,
FALSE,By the end of the first month,Together,"Discuss opportunities for presentations, writing, collaboration, teaching, or independent work.",
FALSE,By the end of the first month,Together,Discuss how the initial project may develop into a thesis or dissertation component.,
FALSE,By the end of the first month,Together,"Discuss what part of onboarding was unnecessary, missing, delayed, or confusing.",
FALSE,By the end of the first month,Together,Revise the master onboarding checklist while the experience is still recent.,
FALSE,By the end of the first month,Nobu,Provide written or clearly documented feedback on the first research product.,
FALSE,By the end of the first month,Nobu,Confirm that the next milestone is appropriately scoped.,
FALSE,By the end of the first month,Nobu,Confirm that the student understands immediate assistantship and research priorities.,
FALSE,By the end of the first month,Nobu,"Identify any training, equipment, funding, or mentoring gap that needs action.",
FALSE,By the end of the first month,New member,Complete the first meaningful research product.,
